type,lat,lon,tags,lighting_level,police_near,cctv_count,crime_reports,safety_score,street_name,area_name
street_lamp,13.0033767,77.6185141,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '20', 'light:tilt': '-90', 'line_attachment': 'pin', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,Hall Road,Bangalore
street_lamp,13.0034218,77.6183961,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '20', 'light:tilt': '-90', 'line_attachment': 'pin', 'material': 'concrete', 'power': 'pole'}",10,0,0,1,0.64,Hall Road,Bangalore
street_lamp,13.0035029,77.6181837,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'line_attachment': 'pin', 'line_management': 'branch', 'material': 'concrete', 'power': 'pole'}",10,0,0,4,0.46,Hall Road,Bangalore
street_lamp,13.0037812,77.6181579,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'material': 'metal'}",10,0,0,1,0.64,Cookson Road,Bangalore
street_lamp,13.0037416,77.6182895,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'material': 'concrete'}",10,0,0,0,0.7,Hall Road,Bangalore
street_lamp,13.0039527,77.6183705,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'line_attachment': 'pin', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,Cookson Road,Bangalore
street_lamp,13.0039621,77.6182304,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'line_attachment': 'pin', 'material': 'concrete', 'power': 'pole'}",10,0,0,3,0.52,Cookson Road,Bangalore
street_lamp,13.0041007,77.6182799,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'line_attachment': 'pin', 'material': 'concrete', 'power': 'pole'}",10,0,0,3,0.52,Cookson Road,Bangalore
street_lamp,13.004347,77.6185345,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'line_attachment': 'pin', 'line_management': 'termination', 'material': 'concrete', 'power': 'pole'}",10,0,0,0,0.7,,Bengaluru
street_lamp,13.0031804,77.6180523,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'line_attachment': 'pin', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,Viviani Road,Bangalore
street_lamp,13.0030095,77.6179827,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'line_attachment': 'pin', 'material': 'concrete', 'power': 'pole'}",10,0,0,1,0.64,Viviani Road,Bangalore
street_lamp,13.0028232,77.6179068,"{'guyed': 'pole', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'line_attachment': 'pin', 'line_management': 'branch', 'material': 'concrete', 'power': 'pole'}",10,0,0,1,0.64,,Bengaluru
street_lamp,13.0027905,77.6177562,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '20', 'light:tilt': '-90', 'line_attachment': 'suspension', 'line_management': 'termination', 'material': 'concrete', 'power': 'pole'}",10,0,0,4,0.46,,Bengaluru
street_lamp,13.0028768,77.617525,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '20', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,0,0.7,Viviani Road,Bangalore
street_lamp,13.0029501,77.6173289,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '20', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,1,0.64,Viviani Road,Bengaluru
street_lamp,13.0030557,77.6170462,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '20', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,0,0.7,Viviani Road,Bengaluru
street_lamp,13.0030978,77.6169336,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '20', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,0,0.7,Clarke Road,Bangalore
street_lamp,13.0031635,77.6167576,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,0,0.7,,Bengaluru
street_lamp,13.0032676,77.6168067,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '200', 'light:tilt': '-90', 'material': 'metal'}",10,0,0,4,0.46,Viviani Road,Bengaluru
street_lamp,13.002358,77.6164231,"{'highway': 'street_lamp', 'lamp_mount': 'high_mast', 'light:count': '6', 'material': 'metal'}",10,0,0,3,0.52,,Bengaluru
street_lamp,13.0024982,77.6187411,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'pin', 'material': 'concrete', 'power': 'pole'}",10,0,0,0,0.7,Viviani Road,Bangalore
street_lamp,13.0024289,77.618919,"{'guyed': 'yes', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'pin', 'material': 'concrete', 'power': 'pole'}",10,0,0,4,0.46,Viviani Road,Bangalore
street_lamp,13.0026117,77.6184498,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'pin', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,Viviani Road,Bangalore
street_lamp,13.0026696,77.6183011,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'pin', 'material': 'concrete', 'power': 'pole'}",10,0,0,3,0.52,Viviani Road,Bangalore
street_lamp,13.0027577,77.618075,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'pin', 'material': 'concrete', 'power': 'pole'}",10,0,0,1,0.64,Viviani Road,Bengaluru
street_lamp,13.0026031,77.617811,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'line_attachment': 'pin', 'material': 'concrete', 'power': 'pole'}",10,0,0,3,0.52,Viviani Road,Bangalore
street_lamp,13.0022179,77.6176434,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'line_attachment': 'pin', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,Pottery Road,Bengaluru
street_lamp,13.0018881,77.6174889,"{'guyed': 'yes', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '20', 'light:tilt': '-90', 'line_attachment': 'pin', 'material': 'concrete', 'power': 'pole'}",10,0,0,3,0.52,,Bengaluru
street_lamp,13.0046313,77.6182663,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,1,0.64,Cookson Road,Bangalore
street_lamp,13.0049526,77.6174442,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'line_management': 'branch', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,Clarke Road,Bengaluru
street_lamp,13.005087,77.6175051,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,4,0.46,Clarke Road,Bengaluru
street_lamp,13.005292,77.6175981,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,3,0.52,,Bengaluru
street_lamp,13.0056015,77.617747,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '200', 'light:tilt': '-90', 'material': 'concrete'}",10,0,0,0,0.7,Clarke Road,Bangalore
street_lamp,13.0056598,77.6175965,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:count': '2', 'light:direction': '20;200', 'light:tilt': '-90', 'material': 'concrete'}",10,0,0,2,0.58,Clarke Road,Bengaluru
street_lamp,13.0056262,77.6176867,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:count': '2', 'light:direction': '20;200', 'light:tilt': '-90', 'material': 'concrete'}",10,0,0,0,0.7,,Bengaluru
street_lamp,13.0055665,77.6177014,"{'highway': 'street_lamp', 'lamp_mount': 'high_mast', 'light:count': '6', 'material': 'metal'}",10,0,0,0,0.7,,Bengaluru
street_lamp,13.0053298,77.6174928,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'material': 'concrete'}",10,0,0,0,0.7,,Bengaluru
street_lamp,13.0053411,77.6174584,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'line_attachment': 'suspension', 'line_management': 'transition', 'material': 'concrete', 'power': 'pole'}",10,0,0,4,0.46,,Bengaluru
street_lamp,13.0051228,77.6173629,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,4,0.46,Clarke Road,Bengaluru
street_lamp,13.0048235,77.6172273,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,Davis Road,Bengaluru
street_lamp,13.0051263,77.6169993,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,4,0.46,Clarke Road,Bangalore
street_lamp,13.0053358,77.6164624,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,,Bengaluru
street_lamp,13.0054275,77.6162275,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,Davis Road,Bengaluru
street_lamp,13.0057608,77.6163619,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'material': 'concrete'}",10,0,0,4,0.46,,Bengaluru
street_lamp,13.0056922,77.6162624,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,4,0.46,,Bengaluru
street_lamp,13.005202,77.6160572,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,1,0.64,John Armstrong Road,Bangalore
street_lamp,13.0050534,77.6159894,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,4,0.46,,Bengaluru
street_lamp,13.0048372,77.6158907,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,Hall Road,Bangalore
street_lamp,13.0047444,77.6158483,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,0,0.7,Hall Road,Bangalore
surveillance,13.0046949,77.6158257,"{'camera:direction': '30;120;170', 'camera:mount': 'pole', 'camera:type': 'fixed', 'description': '3 Cameras on 1 pole', 'man_made': 'surveillance', 'material': 'steel', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'town'}",5,0,1,4,0.26,Hall Road,Bangalore
street_lamp,13.0044708,77.6158883,"{'highway': 'street_lamp', 'lamp_mount': 'high_mast', 'light:count': '6', 'material': 'metal'}",10,0,0,3,0.52,Hall Road,Bengaluru
street_lamp,13.0051603,77.6145359,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'material': 'concrete'}",10,0,0,0,0.7,,Bengaluru
street_lamp,13.0048761,77.6146228,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '20', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,1,0.64,Hall Road,Bangalore
street_lamp,13.0048264,77.6147534,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '20', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,3,0.52,Hall Road,Bangalore
street_lamp,13.0047907,77.6148472,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '20', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,1,0.64,Hall Road,Bangalore
street_lamp,13.0047374,77.6149871,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '20', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,1,0.64,Hall Road,Bangalore
street_lamp,13.0046455,77.6152284,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '20', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,3,0.52,Hall Road,Bangalore
street_lamp,13.0045838,77.6153903,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '20', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,4,0.46,Hall Road,Bangalore
street_lamp,13.004504,77.6155999,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '20', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,1,0.64,Hall Road,Bangalore
street_lamp,13.0044534,77.6157327,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:count': '2', 'light:direction': '20;110', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,4,0.46,Hall Road,Bangalore
street_lamp,13.0042448,77.6156498,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,1,0.64,Hall Road,Bangalore
street_lamp,13.0040333,77.6155657,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,0,0.7,John Armstrong Road,Bangalore
street_lamp,13.0037711,77.6154615,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,1,0.64,John Armstrong Road,Bengaluru
street_lamp,13.0036753,77.6154209,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,3,0.52,John Armstrong Road,Bengaluru
street_lamp,13.0034566,77.6153281,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,1,0.64,,Bengaluru
street_lamp,13.003301,77.6152621,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,3,0.52,John Armstrong Road,Bangalore
street_lamp,13.0030969,77.6151756,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,John Armstrong Road,Bangalore
street_lamp,13.0029793,77.6152274,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'material': 'concrete'}",10,0,0,1,0.64,John Armstrong Road,Bangalore
street_lamp,13.0029248,77.6151026,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,3,0.52,John Armstrong Road,Bangalore
street_lamp,13.0027834,77.6150426,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,John Armstrong Road,Bangalore
street_lamp,13.0025474,77.6149425,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,3,0.52,John Armstrong Road,Bangalore
street_lamp,13.0024499,77.614912,"{'highway': 'street_lamp', 'lamp_mount': 'high_mast', 'light:count': '6', 'material': 'metal'}",10,0,0,4,0.46,John Armstrong Road,Bangalore
street_lamp,13.0024111,77.6158255,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '190', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,Pottery Road,Bangalore
street_lamp,13.0023963,77.6161666,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,1,0.64,,Bengaluru
street_lamp,13.0004685,77.6224813,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '20', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,4,0.46,Lewis Road,Bangalore
street_lamp,13.0003617,77.6227665,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '20', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,0,0.7,Lewis Road,Bangalore
street_lamp,13.0003058,77.62292,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '20', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,0,0.7,Wheeler Road Extension,Bangalore
street_lamp,13.0002257,77.6231514,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '110', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,Wheeler Road Extension,Bangalore
street_lamp,13.0002097,77.6234347,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,0,0.7,"Wheeler Rd Ext, Balaji Layout, Cooke Town",Bengaluru
street_lamp,13.0001562,77.6236028,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,,Bengaluru
street_lamp,13.0000797,77.6238237,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,1,0.64,,Bengaluru
street_lamp,12.999986,77.6240866,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,1,0.64,Lewis Road,Bangalore
street_lamp,12.9998925,77.6243486,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,1,0.64,Lewis Road,Bangalore
street_lamp,12.9997986,77.6246226,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,Lewis Road,Bangalore
street_lamp,12.9997553,77.624733,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,Banaswadi Road,Bangalore
street_lamp,12.9996858,77.6249513,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'pin', 'material': 'concrete', 'power': 'pole'}",10,0,0,0,0.7,Lewis Road,Bangalore
street_lamp,12.9996688,77.6250077,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '130', 'light:tilt': '-90', 'line_attachment': 'pin', 'material': 'concrete', 'power': 'pole'}",10,0,0,3,0.52,Lewis Road,Bangalore
street_lamp,13.002481,77.6162121,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'material': 'metal'}",10,0,0,2,0.58,,Bengaluru
street_lamp,13.0028286,77.616369,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'material': 'metal'}",10,0,0,2,0.58,Clarke Road,Bengaluru
street_lamp,13.0033359,77.6162717,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '20', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,Viviani Road,Bangalore
street_lamp,13.0034497,77.6159818,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '20', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,1,0.64,Viviani Road,Bangalore
street_lamp,13.0034992,77.6158476,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '20', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,4,0.46,Viviani Road,Bangalore
street_lamp,13.0034985,77.6166585,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'line_attachment': 'pin', 'material': 'concrete', 'power': 'pole'}",10,0,0,0,0.7,Clarke Road,Bengaluru
